year,state,station,name,lat,lon,elev,avg_temp,avg_dew,avg_slp,avg_stp,avg_co2
2016,AK,700001,PORTAGE GLACIER,60.785,-148.833,+0031.4,41.002019218885181,34.962579718205419,1254.9348640464714,1175.4887520084044,404.2775
2016,AK,700197,SELAWIK,66.617,-159.986,+0008.0,27.488428910453543,21.873691757670521,7148.49601972137,1177.5814943032062,404.2775
2016,AK,700260,W POST-WILL ROGERS MEMORIAL A,71.283,-156.782,+0009.5,18.867600111234704,14.14725404770733,1014.8943709059448,1014.2371171672228,404.2775
2016,AK,700300,WAINWRIGHT AIRPORT,70.639,-159.85,+0027.0,19.491235323198616,15.095227722160429,1037.6523967989124,1012.2452138178224,404.2775
2016,AK,700632,BUCKLAND AIRPORT,65.983,-161.133,+0009.1,26.284492127496158,19.271980655992756,8177.9089023297483,1175.5035025257002,404.2775
2016,AK,700637,DEADHORSE AIRPORT,70.192,-148.477,+0018.6,18.966540291682115,14.414785873192436,1014.290302496601,1012.003797120257,404.2775
2016,AK,700860,BARTER ISLAND AIRPORT,70.134,-143.577,+0015.0,19.356030465949818,15.753024264664049,1361.4559006087502,1207.607143426068,404.2775
2016,AK,701040,CAPE LISBURNE LRRS AIRPORT,68.883,-166.133,+0004.9,25.033328758634426,81.781799719166685,1012.1735216341201,3231.6568752317389,404.2775
2016,AK,701043,POINT HOPE AIRPORT,68.35,-166.8,+0004.0,28.411711424278625,15.159779742943442,6377.8043939359122,1614.1028000527485,404.2775
2016,AK,701170,TIN CITY LRRS AIRPORT,65.567,-167.917,+0083.0,26.628060944311869,272.01924058743651,1008.9960252607359,3738.7919743618795,404.2775
2016,AK,701196,BOB BARKER MEMORIAL AIRPORT,66.983,-160.433,+0051.2,30.417192250648871,21.490063650970214,1014.9136707452725,1199.2057869855396,404.2775
2016,AK,701330,RALPH WIEN MEMORIAL AIRPORT,66.867,-162.633,+0009.1,29.803769311580769,21.935665863304905,1009.5675661228526,1009.0013073167715,404.2775
2016,AK,701333,DEERING AIRPORT,66.083,-162.75,+0006.4,28.454036601144495,74.687972717246907,1009.5381887411809,1129.3846140471196,404.2775
2016,AK,701335,NOATAK AIRPORT,67.566,-162.967,+0027.0,28.351557440365838,18.260406315659374,6779.602307347669,1176.1031491780991,404.2775
2016,AK,701486,KIVALINA AIRPORT,67.733,-164.548,+0004.0,27.475779810214373,162.51834534942805,1009.8027335242176,1105.852630082808,404.2775
2016,AK,701718,AMBLER AIRPORT,67.1,-157.85,+0102.0,29.702014177887371,46.552918878180272,6256.3072789725211,1477.5156937785778,404.2775
2016,AK,701719,SHUNGNAK AIRPORT,66.888,-157.162,+0062.8,30.231121861082936,74.7707590359523,1013.7164656208023,1171.8412138181618,404.2775
2016,AK,701730,INDIAN MOUNTAIN LRRS ARPT,66.0,-153.7,+0389.0,28.704830702890483,20.191289193096591,1012.7471263917753,7439.4059434705787,404.2775
2016,AK,701740,BETTLES AIRPORT,66.918,-151.519,+0193.2,28.477634099616861,101.15275522185144,1011.8206377456432,986.99741255716231,404.2775
2016,AK,701780,RALPH M CALHOUN MEML ARPT,65.175,-152.107,+0067.7,30.672954208379682,48.888178840687182,1010.1482962550982,1001.6852644914102,404.2775
2016,AK,701940,FORT YUKON AIRPORT,66.567,-145.267,+0135.6,26.362899826968231,401.44761772339638,9903.306182795699,1388.6609108886416,404.2775
2016,AK,701945,ARCTIC VILLAGE AIRPORT,68.117,-145.567,+0638.0,21.413904639168937,514.90876204797416,7968.0216104497349,1293.3427406891205,404.2775
2016,AK,701975,EAGLE AIRPORT,64.783,-141.148,+0276.8,30.584881521306244,74.09956351536,1069.9961666340519,977.43727311038333,404.2775
2016,AK,702000,NOME AIRPORT,64.511,-165.44,+0004.0,32.833250216289706,25.77987640588308,1007.4960672351995,1006.6705954146581,404.2775
2016,AK,702005,ST MARYS,62.062,-163.3,+0095.1,35.024688542825366,27.768887961933014,5829.5193458781368,1163.878338277098,404.2775
2016,AK,702006,KALTAG AIRPORT,64.327,-158.73,+0055.2,32.496310097639352,131.89405450500553,1009.8816524533432,1002.2552580027192,404.2775
2016,AK,702035,SAVOONGA AIRPORT,63.687,-170.483,+0016.8,29.6601932382134,20.054295368548143,8533.3195452508953,1619.6494954353363,404.2775
2016,AK,702040,GAMBELL AIRPORT,63.767,-171.733,+0008.5,29.05292252361436,153.541649450443,8345.1320614035067,1410.5956875969318,404.2775
2016,AK,702070,UNALAKLEET AIRPORT,63.883,-160.8,+0006.0,33.9168897540477,50.762965640835496,9419.8448924731183,1200.4722494129278,404.2775
2016,AK,702084,EMMONAK,62.785,-164.483,+0004.3,33.95999818572232,28.715379091351995,7599.2689785788925,1239.0054434424358,405.4842857142857
2016,AK,702120,CAPE ROMANZOFF AFS,61.783,-166.033,+0146.0,35.604777916821156,57.38814577926091,1005.209525862069,3308.145567837721,404.2775
