year,state,station,name,lat,elev,avg_temp,avg_co2
2010,AK,700001,PORTAGE GLACIER,60.785,+0031.4,36.641123911930372,389.9
2010,AK,700260,W POST-WILL ROGERS MEMORIAL A,71.283,+0009.5,14.534801587301583,389.9
2010,AK,700300,WAINWRIGHT AIRPORT,70.639,+0027.0,16.49742186576864,389.9
2010,AK,700631,TATITLEK,60.872,+0018.9,39.339345976226774,389.9
2010,AK,700632,BUCKLAND AIRPORT,65.983,+0009.1,21.7635599078341,389.9
2010,AK,700634,UGNU-KUPRAUK AIRPORT,70.331,+0020.4,14.916687788018436,389.9
2010,AK,700635,GALBRAITH LAKE AIRPORT,68.483,+0814.0,15.571011904761901,389.9
2010,AK,700637,DEADHORSE AIRPORT,70.192,+0018.6,14.434911034306193,389.9
2010,AK,700860,BARTER ISLAND AIRPORT,70.134,+0015.0,15.987550250707688,389.9
2010,AK,701040,CAPE LISBURNE LRRS AIRPORT,68.883,+0004.9,21.302827558741537,389.9
2010,AK,701045,RED DOG AIRPORT,68.067,+0297.0,25.856401772232381,389.9
2010,AK,701170,TIN CITY LRRS AIRPORT,65.567,+0083.0,22.847435813455277,389.9
2010,AK,701196,BOB BARKER MEMORIAL AIRPORT,66.983,+0051.2,25.248549717127446,389.9
2010,AK,701210,POINT LAY LRRS AIRPORT,69.817,+0007.6,15.60872119815668,389.9
2010,AK,701330,RALPH WIEN MEMORIAL AIRPORT,66.867,+0009.1,22.851577700972861,389.9
2010,AK,701333,DEERING AIRPORT,66.083,+0006.4,21.713883230043962,389.9
2010,AK,701335,NOATAK AIRPORT,67.566,+0027.0,23.57184733478115,389.9
2010,AK,701338,CHEVAK AIRPORT,61.533,+0022.9,27.8784376018247,389.9
2010,AK,701625,ANAKTUVUK PASS AIRPORT,68.167,+0641.0,17.160555555555554,389.9
2010,AK,701718,AMBLER AIRPORT,67.1,+0102.0,25.091482630272953,389.9
2010,AK,701719,SHUNGNAK AIRPORT,66.888,+0062.8,24.625041591533066,389.9
2010,AK,701730,INDIAN MOUNTAIN LRRS ARPT,66.0,+0389.0,27.858646722892178,389.9
2010,AK,701740,BETTLES AIRPORT,66.918,+0193.2,24.280822452636968,389.9
2010,AK,701745,CHANDALAR LAKE AIRPORT,67.511,+0585.0,22.983393497183815,389.9
2010,AK,701780,RALPH M CALHOUN MEML ARPT,65.175,+0067.7,26.312318228366617,389.9
2010,AK,701793,MANLEY HOT SPRINGS,65.0,+0082.9,28.82478355514252,389.9
2010,AK,701940,FORT YUKON AIRPORT,66.567,+0135.6,25.953377496159746,389.9
2010,AK,701945,ARCTIC VILLAGE AIRPORT,68.117,+0638.0,21.064246821923643,389.9
2010,AK,701975,EAGLE AIRPORT,64.783,+0276.8,28.346979006656422,389.9
2010,AK,702005,ST MARYS,62.062,+0095.1,27.446922683051714,389.9
2010,AK,702006,KALTAG AIRPORT,64.327,+0055.2,25.833018433179724,389.9
2010,AK,702040,GAMBELL AIRPORT,63.767,+0008.5,26.982323188135545,389.9
2010,AK,702075,ANVIK AIRPORT,62.65,+0094.0,29.007084613415259,389.9
2010,AK,702084,EMMONAK,62.785,+0004.3,27.533734333766592,389.9
2010,AK,702120,CAPE ROMANZOFF AFS,61.783,+0146.0,28.841215231231917,389.9
2010,AK,702185,MEKORYUK AIRPORT,60.383,+0015.0,28.159891972290474,389.9
2010,AK,702190,BETHEL AIRPORT,60.785,+0031.1,28.641512416794679,389.9
2010,AK,702220,GALENA AIRPORT,64.737,+0049.0,26.019256670649142,389.9
2010,AK,702223,KOYUK AIRPORT,64.935,+0037.0,27.405837173579108,389.9
2010,AK,702310,MCGRATH AIRPORT,62.957,+0101.5,27.584721582181256,389.9
2010,AK,702315,TATALINA LRRS AIRPORT,62.894,+0294.0,29.415028885710754,389.9
2010,AK,702320,ANIAK AIRPORT,61.583,+0026.0,29.135291858678954,389.9
2010,AK,702325,WASILLA AIRPORT,61.572,+0108.0,36.393366180846719,389.9
2010,AK,702350,SPARREVOHN LRRS AIRPORT,61.1,+0484.0,29.8285504597505,389.9
2010,AK,702460,MINCHUMINA,63.9,+0214.0,28.722650917244909,389.9
2010,AK,702490,PUNTILLA LAKE,62.1,+0566.3,29.368385573918111,389.9
2010,AK,702495,HAYES RIVER AIRPORT,61.983,+0305.1,35.320520176739585,389.9
2010,AK,702510,TALKEETNA AIRPORT,62.32,+0106.7,36.797589605734757,389.9
2010,AK,702550,SKWENTNA AIRPORT,61.977,+0045.7,35.708592495596108,389.9
