year,state,station,name,lat,elev,avg_temp,avg_co2
1989,AK,700260,W POST-WILL ROGERS MEMORIAL A,71.283,+0009.5,13.548002432155659,352.91
1989,AK,700635,GALBRAITH LAKE AIRPORT,68.483,+0814.0,14.455962301587302,352.91
1989,AK,700636,PRUDHOE BAY,70.25,+0014.0,14.731031746031746,352.91
1989,AK,700637,DEADHORSE AIRPORT,70.192,+0018.6,14.480375704045056,352.91
1989,AK,701040,CAPE LISBURNE LRRS AIRPORT,68.883,+0004.9,21.721833814333813,352.91
1989,AK,701170,TIN CITY LRRS AIRPORT,65.567,+0083.0,23.785535714285714,352.91
1989,AK,701190,PORT CLARENCE CGS,65.254,+0003.0,26.277756285875974,352.91
1989,AK,701195,SHISHMAREF/NEW AIRPORT,66.25,+0004.0,24.586995890495611,352.91
1989,AK,701330,RALPH WIEN MEMORIAL AIRPORT,66.867,+0009.1,23.547707373271887,352.91
1989,AK,701620,UMIAT,69.367,+0085.0,15.843559552255787,352.91
1989,AK,701718,AMBLER AIRPORT,67.1,+0102.0,22.108897978763569,352.91
1989,AK,701730,INDIAN MOUNTAIN LRRS ARPT,66.0,+0389.0,25.264856000481,352.91
1989,AK,701740,BETTLES AIRPORT,66.918,+0193.2,22.7935291858679,352.91
1989,AK,701748,PROSPECT CREEK AIRPORT,66.817,+0335.0,18.404166666666669,352.91
1989,AK,701780,RALPH M CALHOUN MEML ARPT,65.175,+0067.7,25.802313748079875,352.91
1989,AK,701795,FIVE MILE CAMP,65.933,+0155.0,13.62361111111111,352.91
1989,AK,701940,FORT YUKON AIRPORT,66.567,+0135.6,22.343321812596002,352.91
1989,AK,702000,NOME AIRPORT,64.511,+0004.0,27.364573092677929,352.91
1989,AK,702005,ST MARYS,62.062,+0095.1,29.545208496408904,352.91
1989,AK,702035,SAVOONGA AIRPORT,63.687,+0016.8,27.639361052747223,352.91
1989,AK,702070,UNALAKLEET AIRPORT,63.883,+0006.0,28.435689548833313,352.91
1989,AK,702120,CAPE ROMANZOFF AFS,61.783,+0146.0,30.014029015646663,352.91
1989,AK,702185,MEKORYUK AIRPORT,60.383,+0015.0,31.791592985800076,352.91
1989,AK,702190,BETHEL AIRPORT,60.785,+0031.1,29.9477003328213,352.91
1989,AK,702220,GALENA AIRPORT,64.737,+0049.0,25.632735239670726,352.91
1989,AK,702310,MCGRATH AIRPORT,62.957,+0101.5,25.842990911418333,352.91
1989,AK,702315,TATALINA LRRS AIRPORT,62.894,+0294.0,23.981984126984123,352.91
1989,AK,702320,ANIAK AIRPORT,61.583,+0026.0,30.824681786693176,352.91
1989,AK,702350,SPARREVOHN LRRS AIRPORT,61.1,+0484.0,28.115167961123845,352.91
1989,AK,702460,MINCHUMINA,63.9,+0214.0,27.274191909985305,352.91
1989,AK,702483,FAREWELL LAKE,62.533,+0323.0,29.779085986559231,352.91
1989,AK,702490,PUNTILLA LAKE,62.1,+0566.3,27.650978093902356,352.91
1989,AK,702495,HAYES RIVER AIRPORT,61.983,+0305.1,33.677519841269842,352.91
1989,AK,702510,TALKEETNA AIRPORT,62.32,+0106.7,33.470414746543788,352.91
1989,AK,702550,SKWENTNA AIRPORT,61.977,+0045.7,32.807820863569759,352.91
1989,AK,702590,KENAI MUNICIPAL AIRPORT,60.58,+0027.7,34.478098438300044,352.91
1989,AK,702600,NENANA/MUN.                  ,64.55,+0110.0,27.07689609673481,352.91
1989,AK,702606,CHULITNA AIRPORT,62.883,+0426.7,32.1660671855348,352.91
1989,AK,702607,HOONAH SEAPLANE BASE,58.12,+0006.0,43.61422705105673,352.91
1989,AK,702610,FAIRBANKS INTERNATIONAL,64.804,+0131.7,27.720492191500252,352.91
1989,AK,702615,WAINWRIGHT AAF AIRPORT,64.838,+0140.0,27.625967659300365,352.91
